Time,Title
2024-06-14 21:00:00,EM Deutschland – Schottland
2024-06-15 15:00:00,EM Ungarn – Schweiz
2024-06-15 18:00:00,EM Spanien – Kroatien
2024-06-15 21:00:00,EM Italien – Albanien
2024-06-16 15:00:00,EM Polen – Niederlande
2024-06-16 18:00:00,EM Slowenien – Dänemark
2024-06-16 21:00:00,EM Serbien – England
2024-06-17 15:00:00,EM Rumänien – Ukraine
2024-06-17 18:00:00,EM Belgien – Slowakei
2024-06-17 21:00:00,EM Österreich – Frankreich
2024-06-18 18:00:00,EM Türkei – Georgien
2024-06-18 21:00:00,EM Portugal – Tschechien
2024-06-19 15:00:00,EM Kroatien – Albanien
2024-06-19 18:00:00,EM Deutschland – Ungarn
2024-06-19 21:00:00,EM Schottland – Schweiz
2024-06-20 15:00:00,EM Slowenien – Serbien
2024-06-20 18:00:00,EM Dänemark – England
2024-06-20 21:00:00,EM Spanien – Italien
2024-06-21 14:00:00,Einlass – im KoKi
2024-06-21 14:30:00,Vorprogramm – im KoKi
2024-06-21 15:00:00,EM Slowakei – Ukraine – im KoKi
2024-06-21 18:00:00,EM Polen – Österreich – im KoKi
2024-06-21 21:00:00,EM Niederlande – Frankreich
2024-06-22 15:00:00,EM Georgien – Tschechien
2024-06-22 18:00:00,EM Türkei – Portugal
2024-06-22 21:00:00,EM Belgien – Rumänien
2024-06-23 17:30:00,Elf mal morgen: Berlinale Meets Fußball – 11 Kurz-Dokumentarfilme
2024-06-23 21:00:00,EM Schweiz – Deutschland
2024-06-23 21:00:00,EM Schottland – Ungarn
2024-06-24 21:00:00,EM Albanien – Spanien
2024-06-24 21:00:00,EM Kroatien – Italien
2024-06-25 18:00:00,EM Niederlande – Österreich
2024-06-25 18:00:00,EM Frankreich – Polen
2024-06-25 21:00:00,EM England – Slowenien
2024-06-25 21:00:00,EM Dänemark – Serbien
2024-06-26 18:00:00,EM Slowakei – Rumänien
2024-06-26 18:00:00,EM Ukraine – Belgien
2024-06-26 21:00:00,EM Georgien – Portugal
2024-06-26 21:00:00,EM Tschechien – Türkei
2024-06-27 21:00:00,Diamantino
2024-06-28 21:00:00,City of God
2024-06-29 18:00:00,EM Achtelfinale
2024-06-29 21:00:00,EM Achtelfinale
2024-06-30 18:00:00,EM Achtelfinale
2024-06-30 21:00:00,EM Achtelfinale
2024-07-01 18:00:00,EM Achtelfinale
2024-07-01 21:00:00,EM Achtelfinale
2024-07-02 18:00:00,EM Achtelfinale
2024-07-02 21:00:00,EM Achtelfinale
2024-07-03 21:00:00,Libero
2024-07-04 21:00:00,The Damned United – Der ewige Gegner
2024-07-05 18:00:00,EM Viertelfinale
2024-07-05 21:00:00,EM Viertelfinale
2024-07-06 18:00:00,EM Viertelfinale
2024-07-06 21:00:00,EM Viertelfinale
2024-07-07 17:30:00,Elf mal morgen: Berlinale Meets Fußball – 11 Kurz-Dokumentarfilme
2024-07-07 21:00:00,"Nordkurve, Adolf Winkelmann, 1994"
2024-07-08 21:00:00,Zidane – A 21st Century Portrait
2024-07-09 21:00:00,EM Halbfinale
2024-07-10 21:00:00,EM Halbfinale
2024-07-11 21:00:00,"Verzeihung, sehen Sie Fußball?"
2024-07-12 21:00:00,Goal of the Dead – Elf Zombies müsst ihr sein
2024-07-13 21:00:00,Victory – Flucht oder Sieg
2024-07-14 21:00:00,EM Finale
