Time,Title
2024-07-11 20:00,Eine Million Minuten
2024-07-12 20:00,Wo die Lüge hinfällt
2024-07-13 20:00,Barbie
2024-07-15 20:00,Der Gesang der Flusskrebse
2024-07-16 20:00,Girl You Know It’s True
2024-07-17 20:00,Back to Black
2024-07-18 20:00,Chantal im Märchenland
2024-07-19 20:00,Wonka
2024-07-20 20:00,Furiosa – A Mad Max Saga
2024-07-21 20:00,The Zone Of Interest
2024-07-22 20:00,The Beekeeper
2024-07-23 20:00,Bad Boys 4: Ride Or Die
2024-07-24 20:00,Bob Marley: One Love
2024-07-25 20:00,Wochenend­ebellen
2024-07-26 20:00,Dune: Part Two
2024-07-30 20:00,Seh-Fest-Fest: Oh la la – Wer ahnt denn sowas?
2024-07-31 20:00,The Fall Guy
2024-08-01 20:00,Seh-Fest-Joker II: Der 2. ausverkaufte Film nochmal
2024-08-02 20:00,Seh-Fest-Joker I: Der 1. ausverkaufte Film nochmal
2024-08-03 20:00,Ich – Einfach unverbesserlich 4
